music_id,track_name,artist,in_spotify_charts
265,Like Crazy (English Version),Jimin,19
266,Sunroof,"Nicky Youre, Dazy",17
267,Lose Yourself - Soundtrack Version,Eminem,21
268,Superman,"Eminem, Dina Rae",14
269,Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",34
270,People Pt.2 (feat. IU),"IU, Agust D",4
271,REMIX EXCLUSIVO,Feid,9
272,DOGTOOTH,"Tyler, The Creator",0
273,SORRY NOT SORRY,"Tyler, The Creator",0
274,HAPPY,NF,0
275,La Bebe,Yng Lvcas,17
276,I Know - PR1SVX Edit,"Kanii, PR1ISVX",0
277,Late Night Talking,Harry Styles,8
278,Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",5
279,Something in the Orange,Zach Bryan,12
280,VOID,Melanie Martinez,0
281,Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",6
282,Midnight Rain,Taylor Swift,4
283,If We Ever Broke Up,Mae Stephens,4
284,You Proof,Morgan Wallen,9
285,LA INOCENTE,"Feid, Mora",37
286,Malas Decisiones,Kenia OS,2
287,Murder In My Mind,Kordhell,20
288,Gangsta's Paradise,"Coolio, L.V.",17
289,CAIRO,"Karol G, Ovy On The Drums",26
290,I Love You So,The Walters,7
291,Dark Red,Steve Lacy,7
292,Say You Won't Let Go,James Arthur,16
293,The Hills,The Weeknd,4
294,Heart To Heart,Mac DeMarco,0
295,Peaches (from The Super Mario Bros. Movie),Jack Black,0
296,Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",16
297,LOKERA,"Brray, Rauw Alejandro, Lyanno",30
298,Low,SZA,0
299,Numb,Linkin Park,5
300,Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",0
301,on the street (with J. Cole),"j-hope, J. Cole",2
302,One Thing At A Time,Morgan Wallen,4
303,Miss You,"Robin Schulz, Oliver Tree",10
304,Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",0
305,Everything I Love,Morgan Wallen,0
306,Heaven,Niall Horan,2
307,LET GO,Central Cee,20
308,Sial,Mahalini,4
309,I Wrote The Book,Morgan Wallen,0
310,"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",0
311,SPIT IN MY FACE!,ThxSoMch,14
312,Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",0
313,Red Ruby Da Sleeze,Nicki Minaj,0
314,Kahani Suno 2.0,Kaifi Khalil,6
315,Nobody Gets Me,SZA,6
316,Hype Boy,NewJeans,17
317,Bloody Mary,Lady Gaga,0
318,98 Braves,Morgan Wallen,0
319,WANDA,Quevedo,22
320,Thought You Should Know,Morgan Wallen,4
321,In The End,Linkin Park,6
322,Zona De Perigo,Leo Santana,4
323,Lovezinho,Treyce,0
324,I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",14
325,Neverita,Bad Bunny,30
326,Vista Al Mar,Quevedo,34
327,Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, JID, Arcane",7
328,Revenge,XXXTENTACION,11
329,Bombonzinho - Ao Vivo,"Israel & Rodolffo, Ana Castela",6
330,Love Again,The Kid Laroi,0
331,After Hours,The Weeknd,6
332,About Damn Time,Lizzo,2
333,Born With A Beer In My Hand,Morgan Wallen,0
334,I'm Not Here To Make Friends,"Sam Smith, Calvin Harris, Jessie Reyez",0
335,TRUSTFALL,P!nk,16
336,ANTIFRAGILE,LE SSERAFIM,12
337,Boy's a liar,PinkPantheress,0
338,VIBE (feat. Jimin of BTS),"TAEYANG, Jimin",2
339,Shirt,SZA,0
340,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,0
341,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,0
342,"Sex, Drugs, Etc.",Beach Weather,16
343,Boy With Luv (feat. Halsey),"Halsey, BTS",0
344,"Hey, Mickey!",Baby Tate,0
345,Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",4
346,Escapism. - Sped Up,"RAYE, 070 Shake",0
347,Space Song,Beach House,4
348,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"BTS, Jung Kook, FIFA Sound",20
349,Te Felicito,"Shakira, Rauw Alejandro",9
350,TV,Billie Eilish,2
351,I'm Not The Only One,Sam Smith,3
352,Heather,Conan Gray,7
353,"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",4
354,One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",10
355,Sugar Rush Ride,TOMORROW X TOGETHER,0
356,Pink Venom,BLACKPINK,16
357,WAIT FOR U (feat. Drake & Tems),"Drake, Future, Tems",14
358,Don't Start Now,Dua Lipa,0
359,After Dark,Mr.Kitty,14
360,Eu Gosto Assim - Ao Vivo,"Gustavo Mioto, Mari Fernandez",4
361,INDUSTRY BABY (feat. Jack Harlow),"Jack Harlow, Lil Nas X",0
362,Atlantis,Seafret,6
363,PUNTO 40,"Baby Rasta, Rauw Alejandro",12
364,Evoque Prata,"DJ Escobar, MC MENOR SG, MC MENOR HR",0
365,How Do I Say Goodbye,Dean Lewis,15
366,Blind,SZA,0
367,Die For You,Joji,0
368,Doja,Central Cee,44
369,Gatita,Bellakath,0
370,Rumble,"Skrillex, Flowdan, Fred again..",0
371,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Travis Scott, 21 Savage, Metro Boomin",0
372,Yonaguni,Bad Bunny,28
373,Super Freaky Girl,Nicki Minaj,0
374,Running Up That Hill (A Deal With God),Kate Bush,0
375,Dream On,Aerosmith,0
376,Limbo,Freddie Dredd,0
377,Where Are You Now,"Lost Frequencies, Calum Scott",44
378,WORTH NOTHING,"Twisted, Oliver Tree",0
379,Bad Habits,Ed Sheeran,8
380,KICK BACK,Kenshi Yonezu,4
381,Good Days,SZA,2
382,Levitating (feat. DaBaby),"Dua Lipa, DaBaby",8
383,Woman,Doja Cat,0
384,Shut up My Moms Calling - (Sped Up),Hotel Ugly,7
385,Ferrari,"James Hype, Miggy Dela Rosa",28
386,"You're On Your Own, Kid",Taylor Swift,2
387,"Kesariya (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya",6
388,Payphone,"Maroon 5, Wiz Khalifa",4
389,All I Want for Christmas Is You,Mariah Carey,0
390,Last Christmas,Wham!,0
391,Rockin' Around The Christmas Tree,Brenda Lee,0
392,Jingle Bell Rock,Bobby Helms,0
393,Santa Tell Me,Ariana Grande,0
394,It's the Most Wonderful Time of the Year,Andy Williams,0
395,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,0
396,Snowman,Sia,0
397,Underneath the Tree,Kelly Clarkson,0
398,Mistletoe,Justin Bieber,0
399,Sleigh Ride,The Ronettes,0
400,Seek & Destroy,SZA,0
401,Love Language,SZA,0
402,Happy Xmas (War Is Over),"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",0
403,Used (feat. Don Toliver),"SZA, Don Toliver",0
404,A Holly Jolly Christmas - Single Version,Burl Ives,0
405,The Christmas Song (Merry Christmas To You) - Remastered 1999,Nat King Cole,0
406,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,0
407,Do They Know It's Christmas? - 1984 Version,Band Aid,0
408,Ghost in the Machine (feat. Phoebe Bridgers),"SZA, Phoebe Bridgers",0
409,Special,SZA,0
410,Merry Christmas Everyone,Shakin' Stevens,0
411,Let It Snow! Let It Snow! Let It Snow!,"Frank Sinatra, B. Swanson Quartet",0
412,SOS,SZA,0
413,Open Arms (feat. Travis Scott),"SZA, Travis Scott",4
414,White Christmas,"Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers",0
415,Driving Home for Christmas - 2019 Remaster,Chris Rea,0
416,Christmas (Baby Please Come Home),Darlene Love,0
417,Gone Girl,SZA,0
418,F2F,SZA,0
419,Notice Me,SZA,0
420,Merry Christmas,"Ed Sheeran, Elton John",0
421,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",0
422,My Only Wish (This Year),Britney Spears,0
423,Antidepresan,"Mabel Matiz, Mert Demir",2
424,Wild Flower (with youjeen),RM,2
425,I Hate U,SZA,0
426,Raindrops (Insane) [with Travis Scott],"Travis Scott, Metro Boomin",0
427,SPIT IN MY FACE!,ThxSoMch,0
428,Deck The Hall - Remastered 1999,Nat King Cole,0
429,Smoking on my Ex Pack,SZA,0
430,Conceited,SZA,0
431,Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",0
432,Maroon,Taylor Swift,0
433,Bejeweled,Taylor Swift,0
434,Tarot,"Bad Bunny, Jhay Cortez",20
435,You Make It Feel Like Christmas (feat. Blake Shelton),"Gwen Stefani, Blake Shelton",0
436,Desesperados,"Chencho Corleone, Rauw Alejandro",34
437,Too Late,SZA,0
438,Party,"Bad Bunny, Rauw Alejandro",4
439,Run Rudolph Run - Single Version,Chuck Berry,0
440,Jingle Bells - Remastered 1999,Frank Sinatra,0
441,Far,SZA,0
442,On Time (with John Legend),"John Legend, Metro Boomin",0
443,齛bcdefu,Gayle,0
444,Sacrifice,The Weeknd,0
445,Is There Someone Else?,The Weeknd,6
446,Fingers Crossed,"Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith",0
447,Out of Time,The Weeknd,0
448,Do It To It,"Cherish, ACRAZE",0
449,We Don't Talk About Bruno,"Adassa, Mauro Castillo, Stephanie Beatriz, Encanto - Cast, Rhenzy Feliz, Diane Guerrero, Carolina Gaitan",0
450,Pepas,Farruko,17
451,How Do I Make You Love Me?,The Weeknd,0
452,Gasoline,The Weeknd,0
453,Infinity,Jaymes Young,0
454,Less Than Zero,The Weeknd,0
455,Take My Breath,The Weeknd,0
456,good 4 u,Olivia Rodrigo,6
457,Best Friends,The Weeknd,0
458,Kiss Me More (feat. SZA),"SZA, Doja Cat",0
459,I Heard You're Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",0
460,Need To Know,Doja Cat,0
461,MONTERO (Call Me By Your Name),Lil Nas X,0
462,love nwantiti (ah ah ah),Ckay,2
463,Dawn FM,The Weeknd,0
464,Surface Pressure,Jessica Darrow,0
465,Starry Eyes,The Weeknd,0
466,THATS WHAT I WANT,Lil Nas X,0
467,One Right Now (with The Weeknd),"The Weeknd, Post Malone",0
468,Mon Amour - Remix,"Aitana, zzoilo",2
469,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Julieta Venegas, Bad Bunny, Tainy",26
470,MONEY,Lisa,13
471,Happier Than Ever,Billie Eilish,0
472,Moth To A Flame (with The Weeknd),"The Weeknd, Swedish House Mafia",17
473,traitor,"Juan Cruz Toledo, Huilen Toledo",6
474,Toxic,BoyWithUke,0
475,drivers license,Olivia Rodrigo,3
476,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,5
477,Oh My God,Adele,0
478,Entre Nosotros (Remix) [con Nicki Nicole],"Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",3
479,A Tale By Quincy,The Weeknd,0
480,I AM WOMAN,Emmy Meli,0
481,It'll Be Okay,Shawn Mendes,0
482,Softcore,The Neighbourhood,12
483,Super Gremlin,Kodak Black,0
484,Todo De Ti,Rauw Alejandro,8
485,Love Nwantiti - Remix,"Ckay, AX'EL, Dj Yo!",0
486,Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",0
487,Meet Me At Our Spot,"THE ANXIETY, Willow, Tyler Cole",0
488,Every Angel is Terrifying,The Weeknd,0
489,Tacones Rojos,Sebastian Yatra,9
490,Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",0
491,Dakiti,"Bad Bunny, Jhay Cortez",21
492,"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago pzk",12
493,Better Days (NEIKED x Mae Muller x Polo G),"NEIKED, Mae Muller, Polo G",0
494,Life Goes On,Oliver Tree,0
495,Sad Girlz Luv Money Remix (feat. Kali Uchis),"Kali Uchis, Amaarae, Moliy",0
496,Butter,BTS,6
497,pushin P (feat. Young Thug),"Young Thug, Future, Gunna",0
498,You Right,"Doja Cat, The Weeknd",0
499,deja vu,Olivia Rodrigo,4
500,Dynamite,BTS,5
501,TO THE MOON,Jnr Choi,0
502,Lost in the Fire,"The Weeknd, Gesaffelstein",2
503,Salimo de Noche,"Trueno, Tiago pzk",0
504,Volando - Remix,"Sech, Bad Bunny, Mora",19
505,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",0
506,Knife Talk (with 21 Savage ft. Project Pat),"Drake, Project Pat, 21 Savage",0
507,Love Grows (Where My Rosemary Goes),Edison Lighthouse,0
508,Phantom Regret by Jim,The Weeknd,0
509,Dos Oruguitas,Sebastian Yatra,0
510,Freaks,Surf Curse,3
511,Acapulco,Jason Derulo,0
512,Daddy Issues,The Neighbourhood,4
513,thought i was playing,"21 Savage, Gunna",0
514,ELEVEN,IVE,1
515,Mood (feat. Iann Dior),"24kgoldn, Iann Dior",0
516,What Else Can I Do?,"Stephanie Beatriz, Diane Guerrero",0
517,DANCE CRIP,Trueno,0
518,Miserable Man,David Kushner,0
519,happier,Olivia Rodrigo,4
520,Praise God,Kanye West,0
521,Get Into It (Yuh),Doja Cat,0
522,Before You Go,Lewis Capaldi,24
523,Sky,Playboi Carti,3
524,Rolling in the Deep,Adele,6
525,Sobrio,Maluma,10
526,Peru,"Ed Sheeran, Fireboy DML",0
527,favorite crime,Olivia Rodrigo,0
528,Thunder,"Prezioso, Gabry Ponte, LUM!X",10
529,positions,Ariana Grande,0
530,The Feels,TWICE,0
531,HEARTBREAK ANNIVERSARY,Giveon,4
532,No Lie,"Sean Paul, Dua Lipa",0
533,OUT OUT (feat. Charli XCX & Saweetie),"Charli XCX, Jax Jones, Joel Corry, Saweetie",0
534,Pope Is a Rockstar,SALES,0
